day,request_time,order_distance,order_fare,pick_index,drop_index,order_time
27,67545,5794.0,16.5,238,48,1290
5,68029,2881.0,12.0,186,163,1008
19,78397,10461.0,32.0,162,261,2643
11,73285,2704.0,8.0,142,238,524
20,77664,9447.0,22.5,261,230,1579
27,72305,1593.0,7.5,43,143,511
26,77820,2285.0,14.0,107,170,1362
17,75340,805.0,4.5,249,125,229
7,75886,2977.0,8.5,166,239,502
12,78038,2253.0,6.5,151,43,303
25,69574,2655.0,9.0,161,237,692
18,67102,3862.0,12.0,143,186,949
18,76119,1931.0,7.5,237,141,497
26,76206,6196.0,13.5,166,48,638
11,65728,2253.0,9.5,236,238,747
14,78242,1255.0,5.0,41,24,268
11,71600,1593.0,7.5,237,162,563
10,70049,4056.0,11.5,125,224,878
7,66621,1497.0,5.5,233,229,311
28,70794,1287.0,8.0,230,50,668
3,78590,3943.0,9.5,163,107,566
11,70545,4377.0,13.0,230,263,1011
6,67540,3879.0,12.0,233,236,909
14,77652,3187.0,10.5,230,170,865
25,73935,2092.0,7.5,186,234,522
28,74931,2639.0,10.5,107,68,933
24,65234,4731.0,14.5,230,114,1254
24,67924,3444.0,11.0,230,263,805
5,71253,837.0,6.0,43,161,429
28,77336,6437.0,14.5,237,79,851
25,71397,5955.0,16.5,186,236,1274
14,69019,2575.0,6.5,142,246,550
7,72872,1384.0,6.0,143,142,386
17,67258,1609.0,9.5,162,48,835
18,70378,9801.0,31.0,230,164,2871
5,78327,3154.0,8.0,163,236,402
3,71251,2092.0,6.5,68,170,407
26,76916,2945.0,9.0,170,224,638
20,75517,4184.0,14.5,68,162,1286
13,68953,1513.0,7.5,186,50,564
27,76088,1127.0,5.5,48,68,324
18,78507,4506.0,12.0,246,87,944
18,68072,1722.0,10.5,162,141,906
6,72164,3058.0,12.0,48,249,1029
12,77863,2189.0,8.5,230,237,692
26,69129,1287.0,5.0,107,79,273
26,65581,2993.0,10.0,238,41,785
18,64958,2865.0,11.0,231,158,943
4,70775,2317.0,8.0,231,249,498
4,76196,1931.0,7.0,143,48,409
27,66043,3541.0,13.0,161,107,1087
10,79045,2414.0,7.5,100,50,481
25,65273,2881.0,12.5,170,237,1087
11,67930,3541.0,12.0,162,79,1004
18,78649,1931.0,8.0,234,164,603
17,67538,901.0,4.5,166,24,161
7,69387,1448.0,6.5,107,170,427
17,72014,1915.0,6.0,48,68,315
18,65621,9560.0,26.5,209,142,2135
25,75058,3701.0,8.5,163,263,489
28,77499,2897.0,10.5,234,4,833
19,73259,885.0,6.5,161,233,479
19,68367,2253.0,8.0,107,4,582
25,66495,9012.0,19.5,230,116,1343
25,68851,3058.0,10.5,48,170,863
26,77343,13325.0,26.0,236,127,1308
12,67761,2559.0,13.5,162,100,1221
14,73200,10622.0,26.5,163,88,2007
3,71703,3090.0,8.0,161,236,454
25,74703,3589.0,8.5,231,246,393
10,69852,853.0,4.5,234,170,242
25,78301,1368.0,6.5,116,244,419
28,78201,3154.0,9.0,143,238,569
18,65442,2816.0,8.5,107,144,589
17,66990,1625.0,6.5,246,90,367
21,73597,1754.0,6.5,231,114,418
21,76704,1899.0,6.0,162,141,332
3,72827,1304.0,5.5,100,48,354
12,74875,740.0,3.5,263,262,123
25,78672,9189.0,20.0,162,42,1397
20,69806,6840.0,17.5,249,236,1386
13,76762,4925.0,15.0,249,48,1139
17,75842,2366.0,7.0,186,230,400
26,68576,1352.0,8.0,113,249,613
20,68664,1127.0,6.0,107,113,426
6,74586,1529.0,7.5,137,164,610
26,68784,2897.0,8.5,143,237,538
3,66983,3058.0,10.5,161,113,869
13,67811,1287.0,6.0,151,238,368
13,75588,3541.0,9.5,230,249,619
14,75870,805.0,4.5,230,161,208
17,76951,6148.0,17.0,163,144,1384
6,66197,1545.0,6.5,79,137,384
13,76894,4876.0,14.0,79,141,1163
6,77614,5955.0,14.0,236,42,970
5,77298,1593.0,6.0,161,234,392
5,71133,4506.0,13.5,164,140,1060
3,66800,2945.0,10.0,238,142,736
10,66876,1287.0,6.5,263,262,417
17,71585,18459.0,34.0,113,243,1576
18,67924,1947.0,9.0,68,230,738
6,68138,1255.0,7.0,229,237,510
27,73713,11330.0,24.5,87,263,1960
4,70248,2414.0,9.0,170,237,724
19,66905,2253.0,7.5,151,239,490
12,78441,1078.0,5.0,79,113,286
14,76637,805.0,4.5,148,232,247
5,70799,982.0,6.0,246,48,418
18,71733,3541.0,12.0,141,170,997
25,66713,1609.0,7.0,161,229,488
21,68453,7081.0,19.0,45,230,1568
6,67453,1819.0,11.5,48,161,1046
25,76557,7242.0,19.0,234,238,1491
18,76967,1593.0,6.0,161,162,344
10,70705,3541.0,10.5,230,79,745
26,72524,2334.0,7.5,237,262,475
27,76024,3219.0,10.5,114,13,780
17,74896,3444.0,9.0,234,231,565
14,75762,4908.0,11.5,237,151,684
28,74798,4265.0,12.5,142,246,1023
12,69382,966.0,6.0,41,24,381
11,69224,2623.0,10.0,164,142,802
14,73641,7290.0,18.5,163,4,1507
17,78190,6373.0,14.5,229,151,973
17,76395,6357.0,15.0,164,238,1022
17,65018,10847.0,22.5,41,224,1220
19,69015,1690.0,5.5,237,236,269
12,65159,2720.0,10.5,236,162,819
20,69962,322.0,3.0,100,48,85
26,69868,4908.0,14.5,13,148,1195
18,67905,4989.0,18.5,163,114,1757
28,68582,3701.0,11.0,163,238,747
24,69918,660.0,4.0,79,107,191
14,68367,2253.0,8.0,161,50,575
26,75407,1931.0,6.5,234,249,390
5,68214,5633.0,13.5,158,143,894
20,65608,772.0,11.0,42,74,1018
18,73105,2334.0,9.5,163,229,802
10,71704,5053.0,12.5,68,239,812
20,65964,1127.0,7.0,237,161,521
10,70735,2575.0,10.0,158,186,814
11,72216,4329.0,17.5,163,137,1729
25,70625,2784.0,10.5,68,142,893
11,78513,6276.0,15.5,234,13,992
6,66570,3380.0,13.5,262,239,1159
18,76279,4667.0,14.5,249,162,1159
14,69924,2253.0,8.0,107,114,548
19,67243,966.0,5.0,234,113,314
25,70041,1448.0,6.5,140,162,434
19,68730,6148.0,19.0,211,142,1744
25,70557,2253.0,7.5,161,170,469
19,75774,2092.0,7.5,79,224,571
6,77944,4216.0,18.5,236,230,1670
25,74944,3380.0,9.0,100,249,660
14,69319,1287.0,6.0,230,142,406
5,67381,2253.0,8.0,237,238,538
18,78567,2253.0,8.0,234,68,555
14,65606,1287.0,5.0,239,238,249
12,68435,1287.0,5.5,230,161,331
17,71397,2543.0,8.0,161,237,517
7,66737,5472.0,23.5,48,144,2255
21,69476,1754.0,8.5,233,164,682
11,68311,4152.0,11.5,239,246,769
13,76046,2140.0,9.5,233,141,734
28,69654,2897.0,12.0,230,234,1033
24,66154,6727.0,16.0,234,142,1238
24,67621,6228.0,18.5,162,142,1551
5,70335,3476.0,9.5,237,238,602
11,68648,3380.0,11.5,238,163,975
28,69495,3444.0,9.0,236,41,533
6,68245,1609.0,6.0,236,75,304
27,76288,2720.0,9.5,162,234,778
21,64856,1690.0,9.0,107,90,769
27,73959,7097.0,16.0,79,263,1127
10,76312,1609.0,5.0,236,237,226
13,69364,1625.0,7.0,230,161,502
11,75837,2897.0,7.5,229,263,437
6,70381,1062.0,5.0,239,238,259
20,67941,3573.0,17.0,237,230,1586
6,68478,3219.0,10.5,48,239,771
17,76372,2446.0,7.5,162,107,464
13,71268,1931.0,9.0,263,141,682
28,65890,3862.0,14.0,48,113,1239
12,76668,5520.0,15.5,161,144,1224
18,74561,4345.0,14.5,236,170,1206
13,76793,2253.0,7.0,140,233,302
20,71903,2414.0,7.5,162,107,474
10,76478,3701.0,11.5,238,141,828
20,70223,1127.0,5.0,140,236,264
17,74927,5263.0,13.5,144,100,1043
28,77922,4989.0,11.5,148,233,585
20,64814,1127.0,5.5,236,263,324
13,67506,1931.0,6.5,237,236,395
19,68372,2736.0,10.5,141,161,850
28,74094,1931.0,8.0,234,137,583
7,77735,2092.0,8.0,79,137,547
13,70728,3862.0,13.0,234,231,1127
18,69407,2881.0,10.5,142,161,841
20,70173,966.0,4.0,137,107,161
7,77882,2897.0,7.5,142,238,427
25,78999,2253.0,9.5,162,48,800
19,69454,4345.0,11.5,141,74,798
6,79138,3058.0,9.5,236,142,676
12,75234,6727.0,18.0,164,238,1483
18,66821,950.0,5.0,114,79,258
28,65545,7821.0,25.5,74,48,2368
20,65742,1127.0,5.5,68,186,348
6,76007,1609.0,6.0,125,231,381
13,72852,4345.0,12.0,170,236,934
25,77297,4973.0,15.0,100,43,1183
17,65426,2704.0,10.0,43,100,776
10,68094,966.0,4.5,234,113,187
4,77567,3444.0,9.5,74,116,641
17,67884,1127.0,4.5,234,90,192
12,71926,1931.0,7.5,79,234,536
4,72532,1609.0,7.0,236,140,493
13,78288,6598.0,17.0,151,162,1284
10,67269,3058.0,11.0,170,246,818
17,69147,1062.0,5.0,163,230,246
12,71334,3058.0,9.5,238,263,680
12,69708,1609.0,6.0,170,79,367
3,73009,11426.0,22.0,88,262,1081
13,75825,6695.0,19.0,186,263,1526
5,79011,1609.0,5.5,100,90,283
11,70123,1786.0,6.0,234,249,338
25,69640,9028.0,20.0,162,88,1155
26,74639,4506.0,10.5,42,75,613
28,77624,4345.0,16.0,137,48,1419
27,76712,4667.0,14.0,170,236,1078
27,69590,2897.0,10.0,164,249,794
4,66434,1094.0,4.5,107,170,184
24,68599,2253.0,9.0,161,43,664
5,67781,6325.0,21.0,238,234,1907
10,72928,3621.0,10.0,74,151,696
4,71909,1448.0,6.0,79,114,354
24,68726,4764.0,11.5,142,41,804
26,76373,2124.0,7.0,43,239,375
4,68782,1287.0,6.0,237,161,383
17,73671,11426.0,20.5,263,88,789
28,68545,2575.0,14.5,246,158,1286
24,65647,805.0,5.0,229,141,282
27,69950,1497.0,8.0,114,144,646
13,74287,1609.0,5.5,151,238,277
25,65589,4104.0,13.0,162,114,1068
27,77888,1239.0,5.0,249,186,239
26,74911,3444.0,10.0,163,236,673
10,67525,869.0,5.5,170,162,395
13,71105,8964.0,20.5,234,151,1341
19,65915,2334.0,14.0,142,230,1360
20,67616,901.0,4.5,236,262,239
11,68905,1867.0,7.0,237,236,486
6,65476,3347.0,15.0,68,233,1371
4,65359,644.0,7.5,48,230,610
4,68407,1287.0,6.0,48,161,390
10,70750,1835.0,7.5,249,113,517
19,69522,1947.0,8.5,163,186,698
3,75607,13261.0,25.0,48,243,1185
7,78180,1432.0,6.0,137,233,374
13,76565,4023.0,12.0,142,158,961
10,78671,1448.0,5.5,237,161,283
19,69008,821.0,5.5,163,230,354
3,68087,2221.0,7.0,162,234,431
13,78865,3862.0,10.5,142,236,740
26,78360,3444.0,9.5,161,107,670
12,67521,1770.0,5.5,140,263,284
20,73422,1963.0,5.5,50,239,220
17,79083,3782.0,10.5,142,140,674
18,74846,3026.0,10.0,79,162,704
11,66064,4667.0,17.0,68,238,1452
19,72381,2897.0,8.0,239,24,459
21,69961,1191.0,7.0,100,230,528
7,65349,2977.0,15.0,161,50,1410
17,73059,13197.0,25.5,236,127,1316
14,67929,2253.0,8.5,262,237,654
26,68957,3701.0,10.0,142,238,778
20,70854,2285.0,8.5,162,236,561
27,66420,5488.0,17.5,163,158,1461
14,69642,3364.0,10.5,244,166,696
13,71929,2816.0,9.0,234,79,676
19,72558,2527.0,7.0,211,107,437
14,71307,2430.0,8.0,237,137,606
19,70679,5745.0,15.5,48,13,1108
13,71564,2092.0,8.5,263,237,651
11,68081,1448.0,6.5,261,209,396
3,65118,2221.0,11.5,142,48,1061
24,71063,1931.0,6.0,249,246,295
6,74016,5649.0,14.5,163,166,1031
27,70808,2108.0,7.5,244,116,529
13,67481,3106.0,8.5,50,239,509
21,70081,1207.0,4.0,237,263,134
21,76275,1481.0,5.5,237,142,297
7,77274,1127.0,5.0,162,229,269
26,71554,5182.0,12.0,107,140,789
11,74830,8546.0,19.5,79,75,1187
4,70891,1931.0,6.0,230,142,311
13,74680,4233.0,10.0,68,239,592
12,78699,6067.0,16.5,24,230,1317
13,77603,1304.0,6.0,41,74,362
13,68065,5069.0,15.0,234,50,1178
21,71201,4748.0,13.0,230,263,882
17,71764,4361.0,13.0,230,263,991
25,67753,1481.0,5.5,143,239,264
4,76958,3701.0,9.5,142,249,559
7,67980,8465.0,23.0,170,166,1860
12,75291,2897.0,8.5,209,249,541
21,70788,1609.0,6.5,48,143,388
11,68693,1497.0,6.0,68,48,377
24,68936,2317.0,6.5,142,238,333
3,76129,2253.0,7.5,48,143,438
18,65569,1545.0,6.0,237,263,346
20,76377,7677.0,17.0,68,151,999
5,78779,1432.0,5.0,79,107,217
19,72184,2494.0,8.5,114,68,602
3,70927,1287.0,6.0,141,233,379
25,72662,2784.0,9.0,142,151,603
6,65843,3380.0,16.0,163,164,1513
5,77233,3347.0,11.5,68,50,897
28,79192,1287.0,6.0,48,170,410
6,66574,5359.0,24.0,142,234,2400
12,69199,1593.0,7.0,229,141,483
11,72084,2897.0,11.5,140,142,963
19,73907,13840.0,26.5,237,243,1340
7,74159,966.0,6.5,68,186,485
11,65884,966.0,6.5,107,170,479
6,73145,2720.0,7.5,233,107,468
5,74263,1304.0,7.0,234,113,552
25,70254,3138.0,9.5,140,239,712
4,73307,1931.0,7.5,234,144,503
3,74430,2913.0,7.5,246,143,348
14,75884,2688.0,8.0,100,237,561
18,69350,2253.0,9.5,237,142,780
12,67540,1609.0,5.5,263,75,263
21,70724,1609.0,5.0,237,236,207
4,66454,1239.0,6.0,262,236,394
10,78204,2800.0,9.0,79,209,615
24,66854,1062.0,5.0,113,249,282
19,69327,2092.0,10.0,186,113,860
28,71906,2575.0,8.0,164,229,535
12,64904,2768.0,9.5,239,263,691
7,67162,4152.0,13.5,43,141,1101
12,70904,1835.0,6.0,137,233,321
25,66828,6116.0,20.0,209,48,1799
20,76863,2639.0,7.0,141,75,312
13,65992,1770.0,10.0,236,237,870
13,69354,2527.0,11.0,230,107,998
4,73551,7725.0,18.5,87,50,1260
10,76606,2575.0,8.5,239,151,566
19,74736,2736.0,8.5,151,263,530
7,76224,4908.0,12.0,163,238,637
26,76826,1127.0,4.5,211,249,190
5,71810,6276.0,19.0,236,79,1702
17,75611,5263.0,12.0,261,68,670
13,69524,6437.0,22.0,68,148,1894
20,79090,1931.0,6.0,141,262,290
28,77027,2720.0,13.0,249,79,1165
17,72877,5794.0,15.0,170,43,1066
6,77801,3170.0,7.5,162,263,335
18,71315,1658.0,7.0,236,141,566
26,74615,966.0,4.5,142,48,264
17,71599,3026.0,8.0,164,113,554
10,77223,4233.0,13.5,237,43,1052
10,78819,1481.0,6.0,50,43,337
27,77338,2221.0,8.5,141,162,644
10,72742,2575.0,8.0,142,43,506
6,72009,7081.0,16.5,13,148,825
13,72168,5955.0,15.5,262,48,1162
12,69450,4458.0,13.0,162,75,948
25,74497,7419.0,17.0,246,236,1182
5,69572,1931.0,9.0,48,162,714
13,77022,2849.0,11.0,142,170,930
25,69324,5311.0,17.5,41,237,1470
6,65115,2752.0,8.5,68,230,586
27,76292,772.0,4.5,186,68,239
11,67327,4313.0,15.0,164,236,1333
10,77529,4764.0,14.0,229,68,1211
14,69571,4152.0,11.0,234,229,729
20,65426,1674.0,9.0,107,170,743
10,76229,2913.0,10.0,186,162,822
20,74024,3380.0,9.5,158,186,666
11,75260,2929.0,9.0,237,143,649
6,73328,1931.0,7.0,137,79,500
28,72043,644.0,4.0,162,229,172
5,66277,3251.0,10.0,170,79,753
3,71546,2205.0,7.0,161,237,341
7,71901,2012.0,8.0,163,68,573
3,77300,1545.0,5.0,162,137,220
7,66217,3444.0,12.5,236,142,986
18,70908,4941.0,13.5,186,4,1100
18,66390,3058.0,13.0,114,186,1177
6,70713,3058.0,11.0,50,162,968
17,69250,2575.0,9.0,142,141,684
26,65155,2221.0,10.0,186,161,824
27,79183,1609.0,5.5,161,233,326
17,66051,4522.0,11.5,140,224,676
24,65784,724.0,4.5,234,186,256
3,71660,3862.0,12.0,161,143,934
14,65805,756.0,5.0,186,164,321
13,76625,354.0,3.5,142,163,131
14,74566,1851.0,6.0,151,239,285
24,78381,7838.0,17.5,249,236,1260
13,77699,2253.0,8.0,137,224,609
25,68991,4506.0,13.5,100,79,1077
4,65280,2253.0,7.0,161,43,443
18,73007,1448.0,8.0,234,170,651
20,74831,1770.0,7.5,107,79,560
20,76201,2028.0,8.0,90,48,602
4,67820,1609.0,5.0,236,263,233
7,65771,2253.0,9.0,151,143,681
4,72654,3090.0,11.0,230,68,929
7,71213,1931.0,6.5,186,68,379
26,76761,1738.0,6.0,162,233,384
18,66605,1432.0,8.5,142,237,703
13,65685,3315.0,11.5,162,113,1008
25,65539,1770.0,14.0,170,100,1378
4,71358,1448.0,5.5,230,170,329
27,73668,4088.0,11.5,114,13,807
10,73481,3685.0,10.0,100,143,624
13,73007,1191.0,5.0,229,233,272
17,75081,1754.0,6.5,75,238,359
13,78083,4345.0,14.5,143,162,1171
4,75840,3058.0,7.5,237,236,340
11,70399,1545.0,6.0,88,13,355
26,65908,3219.0,10.0,239,141,723
17,76501,4828.0,17.0,162,79,1531
26,67023,3557.0,11.5,170,141,968
27,67169,966.0,5.0,229,140,300
5,68534,805.0,5.5,163,230,346
26,73744,4828.0,14.5,48,249,1250
25,69008,1609.0,8.0,161,237,598
18,67479,2575.0,9.5,164,90,772
12,78727,2527.0,8.0,42,74,487
3,68204,2173.0,7.5,142,238,518
19,71579,4056.0,15.0,234,48,1386
28,77147,4506.0,10.5,75,42,621
19,72100,3701.0,11.0,249,161,865
12,72624,1561.0,6.0,163,237,330
17,75600,966.0,4.5,50,163,188
27,68347,7886.0,18.0,231,164,1142
3,75722,4023.0,12.0,249,163,890
10,75081,5633.0,12.0,246,238,706
28,67828,3541.0,15.5,237,164,1480
27,73473,1947.0,9.0,90,114,724
7,69929,2672.0,11.0,186,142,905
4,68021,1094.0,5.0,238,236,210
5,74882,2800.0,8.0,166,238,459
12,76146,4699.0,13.5,234,236,963
19,69122,3058.0,9.5,161,236,670
20,75985,9238.0,22.0,68,262,1676
14,69302,4506.0,10.0,237,74,518
18,69068,821.0,5.5,48,50,365
6,66543,9930.0,21.0,141,88,1408
6,76927,1400.0,5.0,263,141,274
17,73637,1287.0,5.5,100,164,326
12,70124,1513.0,6.5,237,236,486
18,66799,1609.0,6.5,143,238,382
25,68801,1642.0,7.5,164,90,605
5,78206,2253.0,8.5,158,186,549
17,71174,2736.0,9.0,234,79,707
21,77750,2253.0,9.0,107,68,649
5,77482,3380.0,10.0,230,249,730
19,72904,1609.0,6.0,13,12,341
7,73417,3187.0,13.0,137,230,1168
11,71250,1609.0,6.0,141,263,389
4,67449,1642.0,7.0,141,161,450
12,65929,2414.0,10.0,229,161,820
24,75988,4104.0,11.0,211,170,770
14,65961,2253.0,9.0,113,186,711
19,68353,2398.0,10.0,90,170,843
11,72331,3364.0,13.5,170,48,1201
5,73241,4603.0,12.5,125,161,855
25,70054,1271.0,5.5,144,249,344
25,66344,885.0,5.0,164,107,301
4,76650,2832.0,8.5,90,170,563
10,70938,1127.0,4.5,186,164,208
18,73158,5955.0,13.5,75,42,793
26,75256,966.0,5.0,142,230,292
4,65283,6405.0,14.5,100,166,977
3,67329,6759.0,15.5,232,231,905
12,75228,7242.0,17.5,48,74,1279
3,75399,9286.0,20.5,163,13,1320
19,70351,1481.0,8.5,164,100,687
12,65994,3589.0,12.5,142,151,1071
21,77993,4410.0,21.0,148,158,2069
18,70840,1899.0,7.5,90,249,510
19,77368,2253.0,8.5,142,68,667
26,65339,1110.0,7.5,186,161,595
13,77005,2108.0,7.5,163,170,507
10,65510,2366.0,7.5,262,237,481
12,71184,1915.0,8.5,161,170,722
19,66296,2173.0,7.0,262,141,377
3,76460,7741.0,16.5,152,143,800
10,74787,4136.0,10.5,116,151,658
25,65646,1481.0,6.0,162,229,354
14,71012,9286.0,20.0,261,162,1071
28,74995,9576.0,20.5,263,232,1324
26,71703,7902.0,20.0,75,244,1675
5,65838,7966.0,22.5,107,13,1939
6,77528,805.0,4.5,88,13,221
17,69091,8240.0,17.0,13,143,904
18,71247,4023.0,10.5,74,263,663
24,72446,1883.0,6.5,143,239,381
24,75522,1448.0,5.0,229,141,248
20,74861,4329.0,11.5,236,42,834
11,65794,3058.0,15.0,263,140,1398
17,67779,1609.0,5.5,238,239,279
20,74754,5230.0,15.0,13,246,1109
12,76009,8208.0,18.0,186,87,1008
10,66791,917.0,5.0,142,163,279
26,69679,1674.0,8.0,249,144,628
25,66431,5778.0,18.5,237,246,1599
10,68430,756.0,5.5,48,230,364
21,74845,6116.0,15.5,161,4,1189
3,78274,6276.0,17.5,261,246,1273
10,66767,1609.0,5.5,137,79,269
17,76837,4345.0,11.5,162,239,704
10,67252,3444.0,10.5,237,238,807
25,70188,1851.0,8.0,237,161,656
7,70254,1770.0,10.5,249,148,935
13,75433,1835.0,5.5,141,263,260
4,76468,5118.0,13.0,236,137,878
24,67090,2945.0,10.0,41,74,771
7,76969,3541.0,10.0,246,143,688
26,72901,2157.0,9.0,107,158,694
17,76205,5198.0,14.0,237,249,1099
12,66691,1175.0,7.5,68,48,566
21,76996,5086.0,17.0,79,230,1505
18,78796,4731.0,12.0,24,236,786
10,69756,3862.0,12.0,234,232,931
21,67790,3122.0,9.5,170,142,694
17,72565,1094.0,5.5,230,162,373
5,72883,1127.0,5.5,234,68,375
13,76532,4329.0,11.5,237,24,690
27,74055,3508.0,11.5,261,79,933
6,78879,10139.0,20.5,141,231,1168
24,65467,1770.0,9.5,230,162,844
18,70473,3058.0,9.0,239,24,600
12,68309,1287.0,6.0,90,249,413
4,75862,4152.0,16.0,170,249,1508
17,76145,2398.0,8.0,107,148,511
5,71129,2076.0,8.0,162,107,551
6,72589,3862.0,13.5,107,237,1167
27,72914,2253.0,10.0,148,113,808
11,67797,4442.0,12.5,261,246,829
26,68856,2672.0,9.5,107,148,771
11,69849,1481.0,7.5,43,162,561
13,67954,6952.0,18.0,74,142,1394
11,73823,4410.0,12.5,234,229,913
18,67464,853.0,5.0,164,186,306
7,68885,1915.0,9.0,48,162,729
25,70539,4233.0,10.5,238,237,683
19,78200,1497.0,5.0,186,234,224
17,67408,3701.0,9.0,43,142,504
5,77043,821.0,4.0,164,162,153
3,70379,5906.0,13.0,170,232,729
18,66429,2511.0,9.5,90,144,781
6,70447,1963.0,7.0,236,262,461
26,70721,2881.0,9.5,137,113,696
24,76959,8175.0,17.0,79,74,1082
21,67035,1722.0,7.0,143,48,486
19,69376,805.0,4.0,100,170,185
24,75978,2559.0,7.5,48,239,422
4,72130,3879.0,9.5,90,13,514
18,69981,1078.0,5.0,125,144,307
20,69182,3701.0,11.5,162,79,896
21,71090,2028.0,7.0,239,143,446
13,74182,2414.0,12.0,170,237,1058
14,73055,5166.0,11.0,239,152,636
17,78643,1770.0,6.5,48,164,439
27,77915,4184.0,13.0,231,68,1035
13,74396,3315.0,10.5,79,233,803
3,78291,4410.0,12.0,113,237,853
5,75357,3557.0,17.5,162,234,1616
27,76993,3911.0,15.0,231,186,1324
18,69195,3750.0,12.5,236,48,996
28,70074,5906.0,15.5,164,262,1200
21,71410,2591.0,9.5,234,249,795
18,65541,1609.0,8.5,161,170,704
26,77746,6019.0,17.5,140,249,1468
24,66056,3009.0,10.5,43,140,839
4,66959,2961.0,9.0,163,236,689
6,72677,3058.0,9.0,263,163,604
28,74664,1513.0,5.5,186,249,297
25,75490,3943.0,11.0,163,107,862
12,77023,8916.0,18.0,231,162,993
26,69746,3492.0,10.5,249,170,819
11,66138,901.0,4.5,48,230,211
6,67080,4023.0,13.5,107,237,1127
20,69745,2189.0,8.0,246,158,642
4,78958,4023.0,10.5,125,100,603
